#,Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
MCC1314-001,Manchester City Council,Chief Executives,Advertising,2013-04-02,1903595700,601.82,Nubian Enterprise
MCC1314-002,Manchester City Council,Chief Executives,Proffesional Fees,2013-04-02,1903595741,7240.75,Kpmg Llp
MCC1314-003,Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-04-02,1903596020,1139.70,Chicken Joes Limited
MCC1314-004,Manchester City Council,Hospitality + Trading Services,Catering Provisions,2013-04-02,1903596031,531.38,Chicken Joes Limited
MCC1314-005,Manchester City Council,Chief Executives,Seconded Employees,2013-04-02,5100627664,6275.55,Dept for Communities and Local Govt
MCC1314-006,Manchester City Council,Manchester Leisure,Equipment,2013-04-02,5100627665,6098.40,Groundwork Landscapes Ltd
MCC1314-007,Manchester City Council,Chief Executives,Seconded Employees,2013-04-02,5100627667,6246.29,Dept for Communities and Local Govt
MCC1314-008,Manchester City Council,Chief Executives,Seconded Employees,2013-04-02,5100627669,5554.09,Dept for Communities and Local Govt
MCC1314-009,Manchester City Council,Chief Executives,Seconded Employees,2013-04-02,5100627670,7066.41,Dept for Communities and Local Govt
MCC1314-010,Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2013-04-02,5100627671,602.90,MT Kaill (Plant Hire) Ltd
MCC1314-011,Manchester City Council,Hospitality + Trading Services,I T Provision,2013-04-02,5100627674,795.41,Mouchel Limited
MCC1314-012,Manchester City Council,Chief Executives,Training and Development,2013-04-02,5100627677,14500.00,North West Employers Ltd
MCC1314-013,Manchester City Council,Hospitality + Trading Services,I T Provision,2013-04-02,5100627678,1080.20,Mouchel Limited
MCC1314-014,Manchester City Council,Corporate Services,Rents,2013-04-02,5100627681,667992.50,Ask Inv Fund (Grand Island) LP
MCC1314-015,Manchester City Council,Regeneration Finance,Proffesional fees,2013-04-02,5100627682,10000.00,Manchester Airport Plc
MCC1314-016,Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2013-04-02,5100627685,605.75,MT Kaill (Plant Hire) Ltd
MCC1314-017,Manchester City Council,Childrens Services,Car Parking Permits,2013-04-02,5100627690,1043.33,National Car Parks Ltd Season Ticke
MCC1314-018,Manchester City Council,Chief Executives,Seconded Employees,2013-04-02,5100627691,7299.04,Dept for Communities and Local Govt
MCC1314-019,Manchester City Council,Manchester Leisure,Equipment,2013-04-02,5100627697,1385.00,Groundwork Landscapes Ltd
MCC1314-020,Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2013-04-02,5100627706,405713.15,NU3PS
MCC1314-021,Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2013-04-02,5100627718,1166.36,Manchester Van Hire Ltd
MCC1314-022,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-03,1903595522,4130.00,Cityco
MCC1314-023,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-03,1903595529,7994.36,Water Adventure Centre
MCC1314-024,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-03,1903595530,1992.00,Castlefield Forum
MCC1314-025,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-03,1903595531,700.00,Gorton All Together
MCC1314-026,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-03,1903595678,1260.00,Caritas Lalley Centre
MCC1314-027,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-03,1903595688,7769.27,Coverdale & New Bank St Comm Assoc
MCC1314-028,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-03,1903595690,894.44,Enhance4Youth
MCC1314-029,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-03,1903595692,1500.00,Birch Community Centre Playscheme
MCC1314-030,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-03,1903595694,5035.35,Community Forests Northwest Ltd
MCC1314-031,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-03,1903595698,1400.00,Rainbows Parent & Toddler Group
MCC1314-032,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-03,1903595698,1400.00,Rainbows Parent & Toddler Group
MCC1314-033,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-03,1903595699,3372.25,Assist
MCC1314-034,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-03,1903595699,3372.25,Assist
MCC1314-035,Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2013-04-03,1903600638,695.00,Ecomix Concrete Ltd
MCC1314-036,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-03,1903600664,3800.00,Chapter 1 Charity Ltd
MCC1314-037,Manchester City Council,Hospitality + Trading Services,I T Provision,2013-04-03,5100627717,1016.95,Mouchel Limited
MCC1314-038,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-04-03,5100627783,3147.03,Pts Plumbing Trade Supplies
MCC1314-039,Manchester City Council,Hospitality + Trading Services,I T Provision,2013-04-03,5100627784,909.26,Mouchel Limited
MCC1314-040,Manchester City Council,Hospitality + Trading Services,I T Provision,2013-04-03,5100627785,910.47,Mouchel Limited
MCC1314-041,Manchester City Council,Hospitality + Trading Services,I T Provision,2013-04-03,5100627786,818.84,Mouchel Limited
MCC1314-042,Manchester City Council,Highways Services,Subsistence and Conference Expenses,2013-04-03,5100627794,4080.00,Bike Right
MCC1314-043,Manchester City Council,Regeneration Finance,Subsistence and Conference Expenses,2013-04-03,5100627800,680.00,Gov Net communications
MCC1314-044,Manchester City Council,Chief Executives,Paper & Envelopes,2013-04-03,5100627802,798.00,Premier Paper Group Ltd
MCC1314-045,Manchester City Council,Chief Executives,Paper & Envelopes,2013-04-03,5100627803,1197.00,Premier Paper Group Ltd
MCC1314-046,Manchester City Council,Adult Social Care,Legal Fees,2013-04-03,5100627805,500.00,Blackstone Chambers
MCC1314-047,Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2013-04-03,5100627808,2184.84,Wolseley Util Ltd T/A Burdens Ltd
